Original_Name,Standard_Name,Gene_ID,Synonyms,Organism,Normalization_Status,Remark
BRCA1 associated deubiquitinase 1,BAP1,8314,UBM2; UVM2; KURIS; TPDS1; UCHL2; hucep-6; HUCEP-13,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
"NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor",NF2,4771,ACN; SCH; BANF; SWNV; merlin-1,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
cyclin dependent kinase inhibitor 2A,CDKN2A,1029,ARF; CDK4I; CMM2; INK4A; MLM; MTS1; P14; P16; TP16,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
tumor protein p53,TP53,7157,BCC7; LFS1; P53; TRP53,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
"SET domain containing 2, histone lysine methyltransferase",SETD2,29072,HIF-1; HYPB; HSPC069; KMT3A,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
large tumor suppressor kinase 1,LATS1,9113,WARTS; h-warts; LATS; STK9,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
large tumor suppressor kinase 2,LATS2,26524,KPM; LATSB; hLATS2,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
SET domain bifurcated histone lysine methyltransferase 1,SETDB1,9869,ESET; KG1T; KMT1E; TDRD21; H3-K9-HMTase4,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
methylthioadenosine phosphorylase,MTAP,4507,MSAP; c86fus; DMSA; DMSAase,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
cyclin dependent kinase inhibitor 2B,CDKN2B,1030,INK4B; MTS2; CDKN4B; p15INK4B,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
DEAD-box helicase 3 X-linked,DDX3X,1654,DBX; DDX3; HLP2; CAP-Rf; Helicase DBX; DEAD3,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
DEAD-box helicase 51,DDX51,317781,DDX51; DEAD5; DDX-51,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
unc-51 like autophagy activating kinase 2,ULK2,113451,ATG1B; FAKTS; KIAA0623,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
ryanodine receptor 2,RYR2,6262,ARVC2; CMH11; RYR-2; VTSIP,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
cilia and flagella associated protein 45,CFAP45,729966,C1orf194,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
Yes1 associated transcriptional regulator,YAP1,10413,YAP; YAP65; YAP2,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
WW domain containing transcription regulator 1,WWTR1,25937,TAZ; TAZ1,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
TEA domain transcription factor 1,TEAD1,7003,TEF-1,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
BRCA1 DNA repair associated,BRCA1,672,BRCC1; RNF53,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
BRCA2 DNA repair associated,BRCA2,675,FAD1; FACD; FANCD1,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
ATM serine/threonine kinase,ATM,472,ATA; TEL1; TELO1,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
RB transcriptional corepressor 1,RB1,5925,OSRC; pp110; p105-Rb,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
epidermal growth factor receptor,EGFR,1956,ERBB; HER1; ERBB1,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",PIK3CA,5290,PI3K; p110alpha,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
phosphatase and tensin homolog,PTEN,5728,MMAC1; TEP1,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
