Original_Name,Standard_Name,Pathway_ID,Database,Category,RelatedGenes,RelatedProteins,Database_URL,Normalization_Status,Remark
Hippo signaling pathway,Hippo signaling pathway,hsa04390,KEGG,Signal transduction,NF2;YAP1;WWTR1;LATS1;LATS2,NF2;YAP1;WWTR1;LATS1;LATS2,https://www.genome.jp/dbget-bin/www_bget?hsa04390,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
p53 signaling pathway,p53 signaling pathway,hsa04115,KEGG,Cancer signaling,TP53;CDKN1A;BAX;MDM2,TP53;CDKN1A;BAX;MDM2,https://www.genome.jp/dbget-bin/www_bget?hsa04115,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
PI3K-AKT signaling pathway,PI3K-AKT signaling pathway,hsa04151,KEGG,Signal transduction,PTEN;PIK3CA;AKT1;MTOR,PTEN;PIK3CA;AKT1;MTOR,https://www.genome.jp/dbget-bin/www_bget?hsa04151,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
MAPK signaling pathway,MAPK signaling pathway,hsa04010,KEGG,Signal transduction,KRAS;NRAS;EGFR;BRAF,KRAS;NRAS;EGFR;BRAF,https://www.genome.jp/dbget-bin/www_bget?hsa04010,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Cell cycle,Cell cycle,hsa04110,KEGG,Cellular processes,TP53;RB1;CDKN2A;CCND1,TP53;RB1;CDKN2A;CCND1,https://www.genome.jp/dbget-bin/www_bget?hsa04110,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Apoptosis,Apoptosis,hsa04210,KEGG,Cellular processes,TP53;BAX;BCL2;CASP3,TP53;BAX;BCL2;CASP3,https://www.genome.jp/dbget-bin/www_bget?hsa04210,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Ras signaling pathway,Ras signaling pathway,hsa04014,KEGG,Signal transduction,KRAS;NRAS;HRAS;EGFR,KRAS;NRAS;HRAS;EGFR,https://www.genome.jp/dbget-bin/www_bget?hsa04014,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
TGF-beta signaling pathway,TGF-beta signaling pathway,hsa04350,KEGG,Signal transduction,TGFB1;SMAD2;SMAD3,TGFB1;SMAD2;SMAD3,https://www.genome.jp/dbget-bin/www_bget?hsa04350,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Wnt signaling pathway,Wnt signaling pathway,hsa04310,KEGG,Signal transduction,CTNNB1;APC,CTNNB1;APC,https://www.genome.jp/dbget-bin/www_bget?hsa04310,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Notch signaling pathway,Notch signaling pathway,hsa04330,KEGG,Signal transduction,NOTCH1;DLL4,NOTCH1;DLL4,https://www.genome.jp/dbget-bin/www_bget?hsa04330,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Homologous recombination,Homologous recombination,hsa03440,KEGG,DNA repair,BRCA1;BRCA2;RAD51,BRCA1;BRCA2;RAD51,https://www.genome.jp/dbget-bin/www_bget?hsa03440,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
