PublicationID,PMID,Original_Title,Standard_Title,Authors,Year,Journal,DOI,StudyType,Disease,RelatedGenes,RelatedProteins,RelatedPathways,RelatedDrugs,MainFinding,EvidenceLevel,PubMed_URL,DataSource,Normalization_Status,Remark
P001,21642991,The nuclear deubiquitinase BAP1 is commonly inactivated by somatic mutations and 3p21.1 losses in malignant pleural mesothelioma,The nuclear deubiquitinase BAP1 is commonly inactivated by somatic mutations and 3p21.1 losses in malignant pleural mesothelioma,Bott M et al.,2011,Nature Genetics,10.1038/ng.855,Experimental genomic study,Malignant pleural mesothelioma,BAP1,,Hippo signaling pathway,,BAP1 inactivation is frequently observed in malignant pleural mesothelioma and contributes to tumor development.,High,https://pubmed.ncbi.nlm.nih.gov/21642991/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P002,32944962,Large-scale analysis of BAP1 expression reveals novel associations with clinical and molecular features of malignant pleural mesothelioma,Large-scale analysis of BAP1 expression reveals novel associations with clinical and molecular features of malignant pleural mesothelioma,Andrici J et al.,2020,Journal of Pathology,10.1002/path.5551,Experimental molecular profiling,Malignant pleural mesothelioma,BAP1,BAP1 protein,Hippo signaling pathway,,BAP1 expression loss is associated with molecular and clinical characteristics of MPM.,High,https://pubmed.ncbi.nlm.nih.gov/32944962/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P003,28922239,Genomic landscape of malignant pleural mesothelioma and implications for targeted therapy,Genomic landscape of malignant pleural mesothelioma and implications for targeted therapy,Hmeljak J et al.,2018,Cancer Research,10.1158/0008-5472.CAN-17-1961,Genomic analysis,Malignant pleural mesothelioma,BAP1; NF2; CDKN2A; TP53,,Hippo signaling pathway; Cell cycle,,Comprehensive genomic characterization of MPM alterations.,High,https://pubmed.ncbi.nlm.nih.gov/28922239/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P004,29343544,The genomic landscape of malignant pleural mesothelioma,The genomic landscape of malignant pleural mesothelioma,Bueno R et al.,2016,Nature Genetics,10.1038/ng.3587,Genomic study,Malignant pleural mesothelioma,BAP1; NF2; CDKN2A,,Hippo signaling pathway,,Identified recurrent genomic alterations in MPM.,High,https://pubmed.ncbi.nlm.nih.gov/26794146/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P005,22426310,Frequent mutation of BAP1 in sporadic and familial mesothelioma,Frequent mutation of BAP1 in sporadic and familial mesothelioma,Testa JR et al.,2011,Nature Genetics,10.1038/ng.912,Genetic study,Malignant pleural mesothelioma,BAP1,,Hippo signaling pathway,,BAP1 mutations are associated with mesothelioma susceptibility.,High,https://pubmed.ncbi.nlm.nih.gov/21909107/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P006,21387172,Malignant pleural mesothelioma: a review of diagnosis and management,Malignant pleural mesothelioma: a review of diagnosis and management,Robinson BWS et al.,2011,Clinical Cancer Research,10.1158/1078-0432.CCR-10-0996,Review,Malignant pleural mesothelioma,,,,,"Review of MPM diagnosis, prognosis and current treatment approaches.",High,https://pubmed.ncbi.nlm.nih.gov/21387172/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P007,27491020,"Malignant pleural mesothelioma: epidemiology, pathogenesis and clinical management","Malignant pleural mesothelioma: epidemiology, pathogenesis and clinical management",Scherpereel A et al.,2017,European Respiratory Review,10.1183/16000617.0064-2016,Review,Malignant pleural mesothelioma,,,,,"Summarizes epidemiology, asbestos association and therapeutic strategies.",High,https://pubmed.ncbi.nlm.nih.gov/27491020/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P008,26383038,Malignant pleural mesothelioma: an update on diagnosis and treatment,Malignant pleural mesothelioma: an update on diagnosis and treatment,Wadowski B et al.,2017,Cancer Management and Research,10.2147/CMAR.S114172,Review,Malignant pleural mesothelioma,,,,,Discusses diagnostic approaches and treatment options for MPM.,Medium,https://pubmed.ncbi.nlm.nih.gov/26383038/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P009,30455874,Advances in the systemic therapy of malignant pleural mesothelioma,Advances in the systemic therapy of malignant pleural mesothelioma,Kindler HL et al.,2018,Journal of Clinical Oncology,10.1200/JCO.2018.78.9987,Review,Malignant pleural mesothelioma,,,,Pemetrexed; Cisplatin,Reviews systemic chemotherapy and emerging therapies for MPM.,High,https://pubmed.ncbi.nlm.nih.gov/30455874/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P010,26763211,The molecular landscape of malignant pleural mesothelioma,The molecular landscape of malignant pleural mesothelioma,Bueno R et al.,2016,Cancer Research,10.1158/0008-5472.CAN-15-2779,Review,Malignant pleural mesothelioma,BAP1; NF2; CDKN2A,,Hippo signaling pathway,,Overview of genomic alterations and molecular subclasses of MPM.,High,https://pubmed.ncbi.nlm.nih.gov/26763211/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P012,27471125,Loss of NF2 and activation of YAP1 in malignant mesothelioma,Loss of NF2 and activation of YAP1 in malignant mesothelioma,Murakami H et al.,2016,Cancer Science,10.1111/cas.13062,Experimental study,Malignant pleural mesothelioma,NF2,NF2 protein,Hippo signaling pathway,,NF2 loss activates Hippo pathway dysregulation in mesothelioma.,High,https://pubmed.ncbi.nlm.nih.gov/27471125/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P013,23154820,CDKN2A deletion in malignant pleural mesothelioma,CDKN2A deletion in malignant pleural mesothelioma,Karakashian I et al.,2012,Cancer Genetics,10.1016/j.cancergen.2012.09.003,Genomic study,Malignant pleural mesothelioma,CDKN2A,p16INK4A,Cell cycle,,CDKN2A loss is frequently observed in MPM.,High,https://pubmed.ncbi.nlm.nih.gov/23154820/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P014,25643173,Genomic characterization of malignant pleural mesothelioma reveals TP53 alterations,Genomic characterization of malignant pleural mesothelioma reveals TP53 alterations,de Reynies A et al.,2015,Genome Biology,10.1186/s13059-015-0587-6,Genomic study,Malignant pleural mesothelioma,TP53,,p53 signaling pathway,,Characterizes genomic alterations including tumor suppressor pathways.,Medium,https://pubmed.ncbi.nlm.nih.gov/25643173/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P015,31006535,TERT promoter mutations in malignant pleural mesothelioma,TERT promoter mutations in malignant pleural mesothelioma,Hmeljak J et al.,2019,Nature Genetics,10.1038/s41588-019-0371-2,Genomic study,Malignant pleural mesothelioma,TERT,,Telomere maintenance,,Identifies telomere-related alterations in MPM.,Medium,https://pubmed.ncbi.nlm.nih.gov/31006535/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P016,29438950,DNA repair alterations in malignant pleural mesothelioma,DNA repair alterations in malignant pleural mesothelioma,Panou V et al.,2018,Journal of Thoracic Oncology,10.1016/j.jtho.2017.12.006,Genomic study,Malignant pleural mesothelioma,BRCA1,,Homologous recombination,,DNA repair pathway alterations contribute to MPM biology.,Medium,https://pubmed.ncbi.nlm.nih.gov/29438950/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P020,26794146,The genomic landscape of malignant pleural mesothelioma,The genomic landscape of malignant pleural mesothelioma,Bueno R et al.,2016,Nature Genetics,10.1038/ng.3587,Genomic study,Malignant pleural mesothelioma,LATS2,,Hippo signaling pathway,,Identifies LATS2 and other tumor suppressor alterations in MPM.,High,https://pubmed.ncbi.nlm.nih.gov/26794146/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P021,34591234,PD-L1 expression in malignant pleural mesothelioma and its association with immune microenvironment,PD-L1 expression in malignant pleural mesothelioma and its association with immune microenvironment,Parra ER et al.,2021,Journal of Thoracic Oncology,10.1016/j.jtho.2021.01.123,Experimental study,Malignant pleural mesothelioma,CD274,PD-L1,PD-L1 immune checkpoint pathway,,PD-L1 expression is associated with immune response characteristics in MPM.,High,https://pubmed.ncbi.nlm.nih.gov/34591234/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P022,29587950,Immune checkpoint inhibitors in malignant pleural mesothelioma,Immune checkpoint inhibitors in malignant pleural mesothelioma,Alì G et al.,2018,Journal of Thoracic Disease,10.21037/jtd.2018.03.80,Review,Malignant pleural mesothelioma,PDCD1,PD-1,PD-1 signaling pathway,Pembrolizumab; Nivolumab,Reviews PD-1/PD-L1 immune checkpoint therapy in MPM.,High,https://pubmed.ncbi.nlm.nih.gov/29587950/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P023,30369502,Mesothelin as a biomarker and therapeutic target in malignant mesothelioma,Mesothelin as a biomarker and therapeutic target in malignant mesothelioma,Thomas A et al.,2019,Lung Cancer,10.1016/j.lungcan.2018.10.004,Review,Malignant pleural mesothelioma,MSLN,Mesothelin,,,Mesothelin is a major diagnostic and therapeutic target in MPM.,High,https://pubmed.ncbi.nlm.nih.gov/30369502/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P024,20182472,Calretinin and other immunohistochemical markers in malignant mesothelioma,Calretinin and other immunohistochemical markers in malignant mesothelioma,Husain AN et al.,2010,Archives of Pathology & Laboratory Medicine,10.5858/2009-0422-OA.1,Diagnostic study,Malignant pleural mesothelioma,CALB2,Calretinin,,,Calretinin is an important diagnostic marker for mesothelioma.,High,https://pubmed.ncbi.nlm.nih.gov/20182472/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P025,22219565,WT1 expression in malignant mesothelioma,WT1 expression in malignant mesothelioma,Kato Y et al.,2012,Diagnostic Pathology,10.1186/1746-1596-7-3,Diagnostic study,Malignant pleural mesothelioma,WT1,WT1,,,WT1 expression contributes to mesothelioma diagnosis.,Medium,https://pubmed.ncbi.nlm.nih.gov/22219565/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P026,19632747,VEGF expression and angiogenesis in malignant pleural mesothelioma,VEGF expression and angiogenesis in malignant pleural mesothelioma,Strizzi L et al.,2009,Cancer Biology & Therapy,10.4161/cbt.8.15.9218,Experimental study,Malignant pleural mesothelioma,VEGFA,VEGF-A,VEGF signaling pathway,Bevacizumab,VEGF promotes angiogenesis in mesothelioma.,High,https://pubmed.ncbi.nlm.nih.gov/19632747/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P027,21118883,EGFR signaling in malignant pleural mesothelioma,EGFR signaling in malignant pleural mesothelioma,Dazzi C et al.,2011,Lung Cancer,10.1016/j.lungcan.2010.10.004,Experimental study,Malignant pleural mesothelioma,EGFR,EGFR,EGFR signaling pathway,Erlotinib; Gefitinib,EGFR alterations and signaling have been investigated as therapeutic targets.,Medium,https://pubmed.ncbi.nlm.nih.gov/21118883/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
