Relationship_ID,Relation_ID,Source_Entity,Source_ID,Relationship_Type,Target_Entity,Target_ID
REL_0051,R003,Gene,4771,PARTICIPATES_IN,Pathway,hsa04390
REL_0052,R003,Gene,10413,PARTICIPATES_IN,Pathway,hsa04390
REL_0053,R003,Gene,25937,PARTICIPATES_IN,Pathway,hsa04390
REL_0054,R003,Gene,9113,PARTICIPATES_IN,Pathway,hsa04390
REL_0055,R003,Gene,26524,PARTICIPATES_IN,Pathway,hsa04390
REL_0056,R004,Protein,P35240,PARTICIPATES_IN,Pathway,hsa04390
REL_0057,R004,Protein,P46937,PARTICIPATES_IN,Pathway,hsa04390
REL_0058,R004,Protein,Q9GZV5,PARTICIPATES_IN,Pathway,hsa04390
REL_0059,R004,Protein,O95835,PARTICIPATES_IN,Pathway,hsa04390
REL_0060,R004,Protein,Q9NRM7,PARTICIPATES_IN,Pathway,hsa04390
REL_0061,R003,Gene,7157,PARTICIPATES_IN,Pathway,hsa04115
REL_0062,R004,Protein,P04637,PARTICIPATES_IN,Pathway,hsa04115
REL_0063,R003,Gene,5728,PARTICIPATES_IN,Pathway,hsa04151
REL_0064,R003,Gene,5290,PARTICIPATES_IN,Pathway,hsa04151
REL_0065,R004,Protein,P60484,PARTICIPATES_IN,Pathway,hsa04151
REL_0066,R004,Protein,P42336,PARTICIPATES_IN,Pathway,hsa04151
REL_0067,R003,Gene,3845,PARTICIPATES_IN,Pathway,hsa04010
REL_0068,R003,Gene,4893,PARTICIPATES_IN,Pathway,hsa04010
REL_0069,R003,Gene,1956,PARTICIPATES_IN,Pathway,hsa04010
REL_0070,R004,Protein,P01116,PARTICIPATES_IN,Pathway,hsa04010
REL_0071,R004,Protein,P01111,PARTICIPATES_IN,Pathway,hsa04010
REL_0072,R004,Protein,P00533,PARTICIPATES_IN,Pathway,hsa04010
REL_0073,R003,Gene,7157,PARTICIPATES_IN,Pathway,hsa04110
REL_0074,R003,Gene,5925,PARTICIPATES_IN,Pathway,hsa04110
REL_0075,R003,Gene,1029,PARTICIPATES_IN,Pathway,hsa04110
REL_0076,R003,Gene,595,PARTICIPATES_IN,Pathway,hsa04110
REL_0077,R004,Protein,P04637,PARTICIPATES_IN,Pathway,hsa04110
REL_0078,R004,Protein,P06400,PARTICIPATES_IN,Pathway,hsa04110
REL_0079,R004,Protein,P42771,PARTICIPATES_IN,Pathway,hsa04110
REL_0080,R004,Protein,P24385,PARTICIPATES_IN,Pathway,hsa04110
REL_0081,R003,Gene,7157,PARTICIPATES_IN,Pathway,hsa04210
REL_0082,R004,Protein,P04637,PARTICIPATES_IN,Pathway,hsa04210
REL_0083,R003,Gene,3845,PARTICIPATES_IN,Pathway,hsa04014
REL_0084,R003,Gene,4893,PARTICIPATES_IN,Pathway,hsa04014
REL_0085,R003,Gene,1956,PARTICIPATES_IN,Pathway,hsa04014
REL_0086,R004,Protein,P01116,PARTICIPATES_IN,Pathway,hsa04014
REL_0087,R004,Protein,P01111,PARTICIPATES_IN,Pathway,hsa04014
REL_0088,R004,Protein,P00533,PARTICIPATES_IN,Pathway,hsa04014
REL_0089,R003,Gene,672,PARTICIPATES_IN,Pathway,hsa03440
REL_0090,R003,Gene,675,PARTICIPATES_IN,Pathway,hsa03440
REL_0091,R004,Protein,P38398,PARTICIPATES_IN,Pathway,hsa03440
