org_id,img_id,Day,Clone,Imaging,org_size_px2,org_size_mikrometer2
1,org01_wt2D_d02_LabA,2,wt2D,LabA,34246,342954
1,org01_wt2D_d02_LabB,2,wt2D,LabB,37110,332658
1,org01_wt2D_d05_LabA,5,wt2D,LabA,121634,1218094
1,org01_wt2D_d05_LabB,5,wt2D,LabB,135610,1215623
1,org01_wt2D_d08_LabA,8,wt2D,LabA,97399,975395
1,org01_wt2D_d08_LabB,8,wt2D,LabB,104273,934714
1,org01_wt2D_d10_LabA,10,wt2D,LabA,97286,974263
1,org01_wt2D_d10_LabB,10,wt2D,LabB,103562,928341
1,org01_wt2D_d12_LabA_after_embedding,12,wt2D,LabA,64262,643547
1,org01_wt2D_d12_LabA_before_embedding,12,wt2D,LabA,108874,1090310
1,org01_wt2D_d12_LabB_after_embedding,12,wt2D,LabB,66429,595477
1,org01_wt2D_d12_LabB_before_embedding,12,wt2D,LabB,117945,1057272
1,org01_wt2D_d16_LabA,16,wt2D,LabA,109663,1098211
1,org01_wt2D_d16_LabB,16,wt2D,LabB,113776,1019900
1,org01_wt2D_d19_LabA,19,wt2D,LabA,142859,1430650
1,org01_wt2D_d19_LabB,19,wt2D,LabB,146103,1309683
1,org01_wt2D_d22_LabA,22,wt2D,LabA,182216,1824788
1,org01_wt2D_d22_LabB,22,wt2D,LabB,189261,1696556
1,org01_wt2D_d25_LabA,25,wt2D,LabA,180342,1806021
1,org01_wt2D_d25_LabB,25,wt2D,LabB,188666,1691222
1,org01_wt2D_d30_LabA,30,wt2D,LabA,170796,1710423
1,org01_wt2D_d30_LabB,30,wt2D,LabB,174319,1562614
2,org02_wt2D_d02_LabA,2,wt2D,LabA,40910,409690
2,org02_wt2D_d02_LabB,2,wt2D,LabB,42864,384238
2,org02_wt2D_d05_LabA,5,wt2D,LabA,128668,1288535
2,org02_wt2D_d05_LabB,5,wt2D,LabB,133946,1200706
2,org02_wt2D_d08_LabA,8,wt2D,LabA,99983,1001272
2,org02_wt2D_d08_LabB,8,wt2D,LabB,104764,939116
2,org02_wt2D_d10_LabA,10,wt2D,LabA,94346,944821
2,org02_wt2D_d10_LabB,10,wt2D,LabB,96353,863719
2,org02_wt2D_d12_LabA_after_embedding,12,wt2D,LabA,77332,774435
2,org02_wt2D_d12_LabA_before_embedding,12,wt2D,LabA,116972,1171407
2,org02_wt2D_d12_LabB_after_embedding,12,wt2D,LabB,83330,746979
2,org02_wt2D_d12_LabB_before_embedding,12,wt2D,LabB,127670,1144448
2,org02_wt2D_d16_LabA,16,wt2D,LabA,128313,1284980
2,org02_wt2D_d16_LabB,16,wt2D,LabB,138343,1240122
2,org02_wt2D_d19_LabA,19,wt2D,LabA,156207,1564323
2,org02_wt2D_d19_LabB,19,wt2D,LabB,163504,1465667
2,org02_wt2D_d22_LabA,22,wt2D,LabA,173489,1737392
2,org02_wt2D_d22_LabB,22,wt2D,LabB,185503,1662869
2,org02_wt2D_d25_LabA,25,wt2D,LabA,190065,1903391
2,org02_wt2D_d25_LabB,25,wt2D,LabB,193119,1731140
2,org02_wt2D_d30_LabA,30,wt2D,LabA,220212,2205296
2,org02_wt2D_d30_LabB,30,wt2D,LabB,222723,1996513
3,org03_wt2D_d02_LabA,2,wt2D,LabA,46085,461515
3,org03_wt2D_d02_LabB,2,wt2D,LabB,47350,424451
3,org03_wt2D_d05_LabA,5,wt2D,LabA,127143,1273263
