Relationship_ID,Relation_ID,Source_Entity,Source_ID,Relationship_Type,Target_Entity,Target_ID
REL_0175,R002,Gene,8314,ASSOCIATED_WITH,Disease,DOID: 7474
REL_0176,R002,Gene,4771,ASSOCIATED_WITH,Disease,DOID: 7474
REL_0177,R002,Gene,7157,ASSOCIATED_WITH,Disease,DOID: 7474
REL_0178,R002,Gene,1029,ASSOCIATED_WITH,Disease,DOID: 7474
REL_0179,R002,Gene,26524,ASSOCIATED_WITH,Disease,DOID: 7474
REL_0180,R002,Gene,1654,ASSOCIATED_WITH,Disease,DOID: 7474
REL_0181,R002,Gene,1956,ASSOCIATED_WITH,Disease,DOID: 7474
REL_0182,R005,Protein,Q99426,ASSOCIATED_WITH,Disease,DOID: 7474
REL_0183,R005,Protein,P35240,ASSOCIATED_WITH,Disease,DOID: 7474
REL_0184,R005,Protein,P04637,ASSOCIATED_WITH,Disease,DOID: 7474
REL_0185,R005,Protein,P42771,ASSOCIATED_WITH,Disease,DOID: 7474
REL_0186,R005,Protein,Q9BYW2,ASSOCIATED_WITH,Disease,DOID: 7474
REL_0187,R005,Protein,O00571,ASSOCIATED_WITH,Disease,DOID: 7474
REL_0188,R005,Protein,P00533,ASSOCIATED_WITH,Disease,DOID: 7474
