Original_Name,Standard_Name,UniProt_ID,GeneSymbol,Organism,Length,UniProt_URL,Normalization_Status,Remark
BRCA1-associated protein 1,BRCA1-associated protein 1,Q99426,BAP1,Homo sapiens,729,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Merlin,Merlin,P35240,NF2,Homo sapiens,595,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Cyclin-dependent kinase inhibitor 2A,Cyclin-dependent kinase inhibitor 2A,P42771,CDKN2A,Homo sapiens,156,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Cellular tumor antigen p53,Cellular tumor antigen p53,P04637,TP53,Homo sapiens,393,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Histone-lysine N-methyltransferase SETD2,Histone-lysine N-methyltransferase SETD2,Q9BYW2,SETD2,Homo sapiens,2564,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Large tumor suppressor kinase 1,Large tumor suppressor kinase 1,O95835,LATS1,Homo sapiens,1130,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Large tumor suppressor kinase 2,Large tumor suppressor kinase 2,Q9NRM7,LATS2,Homo sapiens,1088,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Histone-lysine N-methyltransferase SETDB1,Histone-lysine N-methyltransferase SETDB1,Q15047,SETDB1,Homo sapiens,1291,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Methylthioadenosine phosphorylase,Methylthioadenosine phosphorylase,Q13126,MTAP,Homo sapiens,398,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Cyclin-dependent kinase inhibitor 2B,Cyclin-dependent kinase inhibitor 2B,P42772,CDKN2B,Homo sapiens,138,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
ATP-dependent RNA helicase DDX3X,ATP-dependent RNA helicase DDX3X,O00571,DDX3X,Homo sapiens,662,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
ATP-dependent RNA helicase DDX51,ATP-dependent RNA helicase DDX51,Q8N5M1,DDX51,Homo sapiens,619,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Serine/threonine-protein kinase ULK2,Serine/threonine-protein kinase ULK2,Q8IYT8,ULK2,Homo sapiens,1034,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Ryanodine receptor 2,Ryanodine receptor 2,Q92736,RYR2,Homo sapiens,4967,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Cilia- and flagella-associated protein 45,Cilia- and flagella-associated protein 45,Q9H6X2,CFAP45,Homo sapiens,681,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Yes-associated protein 1,Yes-associated protein 1,P46937,YAP1,Homo sapiens,454,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Transcriptional coactivator TAZ,Transcriptional coactivator TAZ,Q9GZV5,WWTR1,Homo sapiens,400,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Transcription factor TEAD-1,Transcription factor TEAD-1,P28347,TEAD1,Homo sapiens,426,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Breast cancer type 1 susceptibility protein,Breast cancer type 1 susceptibility protein,P38398,BRCA1,Homo sapiens,1863,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Breast cancer type 2 susceptibility protein,Breast cancer type 2 susceptibility protein,P51587,BRCA2,Homo sapiens,3418,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Serine-protein kinase ATM,Serine-protein kinase ATM,Q13315,ATM,Homo sapiens,3056,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Retinoblastoma-associated protein,Retinoblastoma-associated protein,P06400,RB1,Homo sapiens,928,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Epidermal growth factor receptor,Epidermal growth factor receptor,P00533,EGFR,Homo sapiens,1210,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
PI3-kinase catalytic subunit alpha,PI3-kinase catalytic subunit alpha,P42336,PIK3CA,Homo sapiens,1068,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Phosphatase and tensin homolog,Phosphatase and tensin homolog,P60484,PTEN,Homo sapiens,403,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
GTPase NRas,GTPase NRas,P01111,NRAS,Homo sapiens,189,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
GTPase KRas,GTPase KRas,P01116,KRAS,Homo sapiens,189,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Myc proto-oncogene protein,Myc proto-oncogene protein,P01106,MYC,Homo sapiens,439,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-2,P04626,ERBB2,Homo sapiens,1255,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
DNA topoisomerase 1,DNA topoisomerase 1,P11387,TOP1,Homo sapiens,765,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Hepatocyte growth factor receptor,Hepatocyte growth factor receptor,P08581,MET,Homo sapiens,1390,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Vascular endothelial growth factor A,Vascular endothelial growth factor A,P15692,VEGFA,Homo sapiens,232,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
AT-rich interaction domain-containing protein 1A,AT-rich interaction domain-containing protein 1A,O14497,ARID1A,Homo sapiens,2285,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
AT-rich interaction domain-containing protein 2,AT-rich interaction domain-containing protein 2,Q68CP9,ARID2,Homo sapiens,1835,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A4,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A4,P51532,SMARCA4,Homo sapiens,1647,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
SWI/SNF complex subunit SMARCB1,SWI/SNF complex subunit SMARCB1,Q12824,SMARCB1,Homo sapiens,385,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Histone-lysine N-methyltransferase EZH2,Histone-lysine N-methyltransferase EZH2,Q15910,EZH2,Homo sapiens,746,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Histone-lysine N-methyltransferase 2D,Histone-lysine N-methyltransferase 2D,O14686,KMT2D,Homo sapiens,5537,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Serine/threonine-protein kinase STK11,Serine/threonine-protein kinase STK11,Q15831,STK11,Homo sapiens,433,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Programmed cell death 1 ligand 1,Programmed cell death 1 ligand 1,Q9NZQ7,CD274,Homo sapiens,290,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
Programmed cell death protein 1,Programmed cell death protein 1,Q15116,PDCD1,Homo sapiens,288,https://www.uniprot.org/,Normalized,Normalized by UniProt_ID; ProteinName retained from Phase 4 source. GeneSymbol and UniProt_ID retained as the entity linkage keys.
