Relationship_ID,Relation_ID,Source_Entity,Source_ID,Relationship_Type,Target_Entity,Target_ID
REL_0001,R001,Gene,8314,ENCODES,Protein,Q99426
REL_0002,R001,Gene,4771,ENCODES,Protein,P35240
REL_0003,R001,Gene,1029,ENCODES,Protein,P42771
REL_0004,R001,Gene,7157,ENCODES,Protein,P04637
REL_0005,R001,Gene,29072,ENCODES,Protein,Q9BYW2
REL_0006,R001,Gene,9113,ENCODES,Protein,O95835
REL_0007,R001,Gene,26524,ENCODES,Protein,Q9NRM7
REL_0008,R001,Gene,9869,ENCODES,Protein,Q15047
REL_0009,R001,Gene,4507,ENCODES,Protein,Q13126
REL_0010,R001,Gene,1030,ENCODES,Protein,P42772
REL_0011,R001,Gene,1654,ENCODES,Protein,O00571
REL_0012,R001,Gene,317781,ENCODES,Protein,Q8N5M1
REL_0013,R001,Gene,113451,ENCODES,Protein,Q8IYT8
REL_0014,R001,Gene,6262,ENCODES,Protein,Q92736
REL_0015,R001,Gene,729966,ENCODES,Protein,Q9H6X2
REL_0016,R001,Gene,10413,ENCODES,Protein,P46937
REL_0017,R001,Gene,25937,ENCODES,Protein,Q9GZV5
REL_0018,R001,Gene,7003,ENCODES,Protein,P28347
REL_0019,R001,Gene,672,ENCODES,Protein,P38398
REL_0020,R001,Gene,675,ENCODES,Protein,P51587
REL_0021,R001,Gene,472,ENCODES,Protein,Q13315
REL_0022,R001,Gene,5925,ENCODES,Protein,P06400
REL_0023,R001,Gene,1956,ENCODES,Protein,P00533
REL_0024,R001,Gene,5290,ENCODES,Protein,P42336
REL_0025,R001,Gene,5728,ENCODES,Protein,P60484
REL_0026,R001,Gene,4893,ENCODES,Protein,P01111
REL_0027,R001,Gene,3845,ENCODES,Protein,P01116
REL_0028,R001,Gene,4609,ENCODES,Protein,P01106
REL_0029,R001,Gene,2064,ENCODES,Protein,P04626
REL_0030,R001,Gene,7150,ENCODES,Protein,P11387
REL_0031,R001,Gene,4233,ENCODES,Protein,P08581
REL_0032,R001,Gene,7422,ENCODES,Protein,P15692
REL_0033,R001,Gene,8289,ENCODES,Protein,O14497
REL_0034,R001,Gene,196528,ENCODES,Protein,Q68CP9
REL_0035,R001,Gene,6597,ENCODES,Protein,P51532
REL_0036,R001,Gene,6598,ENCODES,Protein,Q12824
REL_0037,R001,Gene,2146,ENCODES,Protein,Q15910
REL_0038,R001,Gene,8085,ENCODES,Protein,O14686
REL_0039,R001,Gene,6794,ENCODES,Protein,Q15831
REL_0040,R001,Gene,29126,ENCODES,Protein,Q9NZQ7
REL_0041,R001,Gene,5133,ENCODES,Protein,Q15116
REL_0042,R001,Gene,1493,ENCODES,Protein,P16410
REL_0043,R001,Gene,3716,ENCODES,Protein,P23458
REL_0044,R001,Gene,3717,ENCODES,Protein,O60674
REL_0045,R001,Gene,595,ENCODES,Protein,P24385
REL_0046,R001,Gene,1019,ENCODES,Protein,P11802
REL_0047,R001,Gene,1021,ENCODES,Protein,Q00526
REL_0048,R001,Gene,794,ENCODES,Protein,P22676
REL_0049,R001,Gene,10232,ENCODES,Protein,Q13421
REL_0050,R001,Gene,7490,ENCODES,Protein,P19544
REL_0051,R003,Gene,4771,PARTICIPATES_IN,Pathway,hsa04390
REL_0052,R003,Gene,10413,PARTICIPATES_IN,Pathway,hsa04390
REL_0053,R003,Gene,25937,PARTICIPATES_IN,Pathway,hsa04390
REL_0054,R003,Gene,9113,PARTICIPATES_IN,Pathway,hsa04390
REL_0055,R003,Gene,26524,PARTICIPATES_IN,Pathway,hsa04390
REL_0056,R004,Protein,P35240,PARTICIPATES_IN,Pathway,hsa04390
REL_0057,R004,Protein,P46937,PARTICIPATES_IN,Pathway,hsa04390
REL_0058,R004,Protein,Q9GZV5,PARTICIPATES_IN,Pathway,hsa04390
REL_0059,R004,Protein,O95835,PARTICIPATES_IN,Pathway,hsa04390
REL_0060,R004,Protein,Q9NRM7,PARTICIPATES_IN,Pathway,hsa04390
REL_0061,R003,Gene,7157,PARTICIPATES_IN,Pathway,hsa04115
REL_0062,R004,Protein,P04637,PARTICIPATES_IN,Pathway,hsa04115
REL_0063,R003,Gene,5728,PARTICIPATES_IN,Pathway,hsa04151
REL_0064,R003,Gene,5290,PARTICIPATES_IN,Pathway,hsa04151
REL_0065,R004,Protein,P60484,PARTICIPATES_IN,Pathway,hsa04151
REL_0066,R004,Protein,P42336,PARTICIPATES_IN,Pathway,hsa04151
REL_0067,R003,Gene,3845,PARTICIPATES_IN,Pathway,hsa04010
REL_0068,R003,Gene,4893,PARTICIPATES_IN,Pathway,hsa04010
REL_0069,R003,Gene,1956,PARTICIPATES_IN,Pathway,hsa04010
REL_0070,R004,Protein,P01116,PARTICIPATES_IN,Pathway,hsa04010
REL_0071,R004,Protein,P01111,PARTICIPATES_IN,Pathway,hsa04010
REL_0072,R004,Protein,P00533,PARTICIPATES_IN,Pathway,hsa04010
REL_0073,R003,Gene,7157,PARTICIPATES_IN,Pathway,hsa04110
